Temp [deg C],X_accel [g],Y_accel [g],Z_accel [g]
24.950309,0.033440,0.039520,0.015200
24.950336,0.021280,0.009120,0.036480
24.950336,0.006080,0.045600,0.003040
24.950336,0.045600,0.012160,0.021280
24.950336,0.018240,0.006080,0.009120
24.950309,0.018240,0.009120,0.021280
24.950309,0.021280,0.036480,0.003040
24.950363,0.033440,0.012160,0.021280
24.950309,0.003040,0.000000,0.036480
24.950309,0.042560,0.045600,0.042560
24.950336,0.015200,0.006080,0.018240
24.950336,0.024320,0.012160,0.036480
24.950309,0.012160,0.003040,0.021280
24.950336,0.012160,0.027360,0.000000
24.950363,0.021280,0.003040,0.027360
24.950363,0.018240,0.039520,0.027360
24.950309,0.018240,0.003040,0.030400
24.950336,0.015200,0.009120,0.036480
24.950363,0.003040,0.009120,0.033440
24.950363,0.024320,0.021280,0.027360
24.950336,0.036480,0.027360,0.033440
24.950336,0.000000,0.021280,0.015200
24.950309,0.033440,0.003040,0.000000
24.950336,0.039520,0.021280,0.042560
24.950336,0.033440,0.030400,0.027360
24.950336,0.021280,0.006080,0.003040
24.950363,0.042560,0.003040,0.033440
24.950336,0.039520,0.045600,0.030400
24.950336,0.036480,0.006080,0.021280
24.950336,0.003040,0.024320,0.024320
24.950363,0.012160,0.042560,0.003040
24.950309,0.033440,0.030400,0.027360
24.950309,0.039520,0.003040,0.036480
24.950336,0.039520,0.039520,0.024320
24.950336,0.033440,0.021280,0.039520
24.950309,0.018240,0.042560,0.003040
24.950363,0.033440,0.006080,0.009120
24.950336,0.039520,0.015200,0.045600
24.950309,0.039520,0.018240,0.030400
24.950363,0.000000,0.039520,0.033440
24.950309,0.003040,0.000000,0.015200
24.950309,0.018240,0.024320,0.021280
24.950390,0.009120,0.006080,0.033440
24.950336,0.042560,0.030400,0.027360
24.950336,0.024320,0.000000,0.042560
24.950363,0.003040,0.000000,0.015200
24.950336,0.015200,0.009120,0.015200
24.950336,0.027360,0.024320,0.012160
24.950309,0.012160,0.015200,0.036480
24.950390,0.000000,0.018240,0.012160
24.950336,0.027360,0.003040,0.045600
24.950336,0.030400,0.006080,0.021280
24.950309,0.006080,0.009120,0.024320
24.950336,0.015200,0.027360,0.021280
24.950309,0.027360,0.003040,0.009120
24.950363,0.003040,0.042560,0.015200
24.950309,0.015200,0.045600,0.039520
24.950336,0.039520,0.027360,0.006080
24.950336,0.042560,0.042560,0.036480
24.950390,0.039520,0.015200,0.003040
24.950336,0.027360,0.006080,0.003040
24.950336,0.042560,0.024320,0.015200
24.950390,0.021280,0.033440,0.012160
24.950336,0.045600,0.036480,0.012160
24.950336,0.027360,0.030400,0.021280
24.950309,0.000000,0.030400,0.024320
24.950336,0.018240,0.039520,0.000000
24.950336,0.024320,0.003040,0.030400
24.950336,0.021280,0.009120,0.024320
24.950363,0.039520,0.033440,0.045600
24.950363,0.018240,0.039520,0.006080
24.950417,0.021280,0.012160,0.045600
24.950363,0.042560,0.012160,0.045600
24.950363,0.027360,0.006080,0.000000
24.950336,0.042560,0.018240,0.000000
24.950309,0.036480,0.009120,0.000000
24.950336,0.036480,0.024320,0.009120
24.950309,0.006080,0.003040,0.033440
24.950336,0.033440,0.012160,0.033440
24.950390,0.018240,0.033440,0.036480
24.950336,0.042560,0.045600,0.012160
24.950363,0.012160,0.042560,0.027360
24.950336,0.009120,0.033440,0.009120
24.950336,0.039520,0.012160,0.018240
24.950336,0.018240,0.030400,0.009120
24.950390,0.003040,0.042560,0.003040
24.950336,0.006080,0.027360,0.015200
24.950309,0.030400,0.006080,0.042560
24.950390,0.033440,0.033440,0.003040
24.950336,0.003040,0.030400,0.027360
24.950363,0.027360,0.036480,0.024320
24.950363,0.042560,0.000000,0.012160
24.950309,0.045600,0.039520,0.009120
24.950363,0.021280,0.036480,0.021280
24.950336,0.015200,0.030400,0.027360
24.950309,0.033440,0.024320,0.015200
24.950390,0.045600,0.036480,0.042560
24.950336,0.039520,0.009120,0.036480
24.950336,0.045600,0.024320,0.039520
24.950336,0.045600,0.006080,0.027360
24.950336,0.018240,0.027360,0.006080
24.950336,0.042560,0.003040,0.021280
24.950309,0.033440,0.033440,0.042560
24.950363,0.021280,0.000000,0.006080
24.950363,0.027360,0.003040,0.015200
24.950336,0.000000,0.030400,0.036480
24.950336,0.006080,0.027360,0.045600
24.950309,0.021280,0.030400,0.036480
24.950336,0.021280,0.009120,0.009120
24.950390,0.000000,0.024320,0.024320
24.950390,0.036480,0.006080,0.045600
24.950390,0.036480,0.006080,0.024320
24.950336,0.042560,0.018240,0.012160
24.950363,0.027360,0.033440,0.036480
24.950309,0.000000,0.006080,0.039520
24.950309,0.018240,0.045600,0.021280
24.950336,0.018240,0.015200,0.030400
24.950363,0.021280,0.000000,0.042560
24.950363,0.006080,0.030400,0.012160
24.950336,0.012160,0.018240,0.042560
24.950417,0.033440,0.033440,0.033440
24.950309,0.024320,0.006080,0.024320
24.950390,0.045600,0.036480,0.036480
24.950363,0.024320,0.009120,0.003040
24.950336,0.033440,0.000000,0.009120
24.950363,0.042560,0.030400,0.042560
24.950309,0.039520,0.003040,0.012160
24.950363,0.027360,0.030400,0.045600
24.950336,0.042560,0.000000,0.009120
24.950336,0.018240,0.003040,0.042560
24.950336,0.015200,0.042560,0.030400
24.950336,0.024320,0.027360,0.036480
24.950309,0.027360,0.000000,0.000000
24.950336,0.039520,0.042560,0.009120
24.950309,0.039520,0.039520,0.036480
24.950336,0.000000,0.030400,0.042560
24.950363,0.015200,0.030400,0.027360
24.950336,0.024320,0.009120,0.006080
24.950363,0.036480,0.033440,0.030400
24.950363,0.024320,0.045600,0.018240
24.950363,0.015200,0.018240,0.003040
24.950363,0.012160,0.030400,0.012160
24.950336,0.030400,0.024320,0.045600
24.950363,0.018240,0.027360,0.006080
24.950336,0.000000,0.000000,0.018240
24.950336,0.018240,0.015200,0.012160
24.950336,0.027360,0.000000,0.018240
24.950363,0.033440,0.018240,0.015200
24.950309,0.039520,0.042560,0.003040
24.950363,0.042560,0.015200,0.018240
24.950336,0.036480,0.012160,0.030400
24.950336,0.012160,0.006080,0.000000
24.950336,0.030400,0.012160,0.006080
24.950336,0.012160,0.006080,0.003040
24.950390,0.036480,0.021280,0.036480
24.950309,0.033440,0.033440,0.012160
24.950309,0.045600,0.006080,0.042560
24.950363,0.012160,0.024320,0.018240
24.950336,0.045600,0.030400,0.015200
24.950390,0.033440,0.039520,0.000000
24.950363,0.033440,0.033440,0.042560
24.950336,0.006080,0.015200,0.036480
24.950336,0.021280,0.021280,0.009120
24.950363,0.030400,0.018240,0.024320
24.950336,0.003040,0.000000,0.003040
24.950390,0.012160,0.039520,0.000000
24.950336,0.012160,0.003040,0.018240
24.950363,0.012160,0.027360,0.012160
24.950336,0.003040,0.003040,0.027360
24.950390,0.033440,0.006080,0.045600
24.950336,0.045600,0.045600,0.018240
24.950363,0.006080,0.003040,0.030400
24.950363,0.006080,0.003040,0.021280
24.950336,0.003040,0.003040,0.003040
24.950336,0.003040,0.018240,0.000000
24.950336,0.021280,0.042560,0.030400
24.950390,0.036480,0.024320,0.003040
